Index,Variable,DataType,MissingCount,MissingPercent,MissingTypes
1,Aneurysm,cell,0,0,
2,PatientGroup,cell,0,0,
3,StudyID,cell,0,0,
4,AcquisitionDate,cell,0,0,
5,SliceNumber,double,0,0,
6,RegionNumber,double,0,0,
7,RegionRow,double,0,0,
8,RegionCol,double,0,0,
9,Filename,cell,0,0,
10,num_vessels,double,477,6.03110380579087,NaN
11,vessel_density,double,477,6.03110380579087,NaN
12,mean_width,double,925,11.6955367303072,NaN
13,mean_aspect_ratio,double,925,11.6955367303072,NaN
14,mean_circularity,double,941,11.8978379061828,NaN
15,branch_point_density,double,925,11.6955367303072,NaN
16,RegionBrainPercentage,double,477,6.03110380579087,NaN
17,RegionBrainPixels,double,0,0,
18,RegionEndCol,double,0,0,
19,RegionEndRow,double,0,0,
20,RegionHeight,double,0,0,
21,RegionStartCol,double,0,0,
22,RegionStartRow,double,0,0,
23,RegionType,cell,0,0,
24,RegionWidth,double,0,0,
25,area_inequality,double,408,5.15867998482741,NaN
26,brain_area_pixels,double,0,0,
27,distance_to_center,double,925,11.6955367303072,NaN
28,end_point_density,double,925,11.6955367303072,NaN
29,glc_contrast,double,925,11.6955367303072,NaN
30,glc_correlation,double,925,11.6955367303072,NaN
31,glc_energy,double,925,11.6955367303072,NaN
32,glc_homogeneity,double,925,11.6955367303072,NaN
33,intensity_range,double,925,11.6955367303072,NaN
34,intensity_std,double,925,11.6955367303072,NaN
35,large_vessel_count,double,477,6.03110380579087,NaN
36,max_area,double,925,11.6955367303072,NaN
37,mean_area,double,925,11.6955367303072,NaN
38,mean_eccentricity,double,925,11.6955367303072,NaN
39,mean_intensity,double,925,11.6955367303072,NaN
40,mean_vessel_length,double,1400,17.7013528891137,NaN
41,median_area,double,925,11.6955367303072,NaN
42,median_intensity,double,925,11.6955367303072,NaN
43,medium_vessel_count,double,477,6.03110380579087,NaN
44,min_area,double,925,11.6955367303072,NaN
45,small_vessel_count,double,477,6.03110380579087,NaN
46,small_vessel_percentage,double,477,6.03110380579087,NaN
47,std_area,double,925,11.6955367303072,NaN
48,std_aspect_ratio,double,925,11.6955367303072,NaN
49,std_circularity,double,941,11.8978379061828,NaN
50,std_eccentricity,double,925,11.6955367303072,NaN
51,std_width,double,925,11.6955367303072,NaN
52,tiny_vessel_count,double,477,6.03110380579087,NaN
53,total_vessel_length,double,1400,17.7013528891137,NaN
54,vessel_area_pixels,double,477,6.03110380579087,NaN
55,vessel_complexity,double,883,11.1644961436338,NaN
56,width_variability,double,925,11.6955367303072,NaN
57,SourceFile,cell,0,0,
